estado,anio,porc_pob_3_21_no_asist_sin_oblig,porc_pob_16mas_sin_secu,porc_pob_16mas_sin_prim,porc_tasa_inasistencia_3_15,porc_tasa_inasistencia_16_21,porc_seg_aliment,porc_inseg_aliment_leve,porc_inseg_aliment_mode,porc_inseg_aliment_seve,porc_limit_consumo,porc_carencia_menor18,porc_carencia_6_11,porc_carencia_12_17,pob_total_hogares_menores_5_17
Tlaxcala,2022,13.0,14.5,19.3,7.7,46.1,59.4,21.9,10.4,8.4,8.6,59.0,61.8,54.6,964798.0
Veracruz de Ignacio de la Llave,2016,13.3,26.7,39.0,9.5,34.1,51.6,26.2,12.6,9.6,2.8,68.7,67.9,69.2,
Veracruz de Ignacio de la Llave,2018,15.4,25.6,38.1,9.4,46.3,45.0,28.1,15.8,11.2,3.4,67.9,68.8,65.9,
Veracruz de Ignacio de la Llave,2020,18.9,26.6,37.5,13.0,51.5,49.2,27.6,13.8,9.3,3.1,68.0,67.9,67.0,
Veracruz de Ignacio de la Llave,2022,15.6,22.7,35.7,9.8,48.8,57.2,22.9,12.1,7.8,3.1,61.2,61.9,58.9,4988630.0
Yucatán,2016,11.6,17.9,33.3,5.8,38.9,60.7,20.0,12.6,6.7,4.4,53.3,52.5,54.6,
Yucatán,2018,13.5,16.7,33.3,6.0,44.0,60.3,20.3,13.1,6.3,3.0,52.3,53.3,50.0,
Yucatán,2020,15.8,16.3,31.7,6.9,53.3,54.0,23.1,15.4,7.5,3.3,55.8,58.6,52.0,
Yucatán,2022,12.3,18.4,29.3,5.4,45.1,68.6,17.8,9.4,4.2,2.7,47.8,51.3,44.7,1367096.0
Zacatecas,2016,12.1,15.6,29.2,7.0,42.6,65.9,19.0,8.6,6.4,1.7,55.3,56.6,54.6,
Zacatecas,2018,17.2,14.8,30.5,8.3,56.3,63.4,19.9,9.9,6.7,1.4,55.4,54.1,54.7,
Zacatecas,2020,20.0,14.6,29.3,11.6,64.1,62.9,20.6,8.8,7.6,1.7,53.0,50.8,54.0,
Zacatecas,2022,16.8,16.4,26.5,9.6,57.7,68.0,16.3,8.3,7.5,1.6,50.8,52.0,50.8,1072701.0
